date,exchange rate,GDP,Inflation,Export,Import,GrossExtDebt,Interest Trend,GDP in $
2013-11-25,7.992999999999999,404355.48913043475,-0.04000000000000001,164117.33695652173,208172.02173913043,140149.36956521738,17.4,50588.701254902386
2013-11-26,7.992999999999999,404471.04347826086,-0.033333333333333326,164155.65217391305,208087.91304347827,140201.52173913043,17.5,50603.158198206045
2013-11-27,7.992999999999999,404586.597826087,-0.026666666666666672,164193.96739130435,208003.80434782608,140253.6739130435,17.6,50617.6151415097
2013-11-28,7.992999999999999,404702.152173913,-0.01999999999999999,164232.28260869565,207919.69565217392,140305.8260869565,17.7,50632.07208481334
2013-11-29,7.992999999999999,404817.70652173914,-0.013333333333333336,164270.59782608695,207835.58695652173,140357.97826086957,17.8,50646.529028116995
2013-11-30,7.992999999999999,404933.26086956525,-0.006666666666666654,164308.91304347827,207751.47826086957,140410.13043478262,17.9,50660.985971420654
2013-12-01,7.992999999999999,405048.8152173913,0.0,164347.22826086957,207667.3695652174,140462.28260869565,18.0,50675.4429147243
2013-12-02,7.992999999999999,405164.3695652174,0.016129032258064516,164385.54347826086,207583.26086956522,140514.4347826087,18.096774193548388,50689.89985802795
2013-12-03,7.992999999999999,405279.92391304346,0.03225806451612903,164423.85869565216,207499.15217391305,140566.58695652173,18.193548387096776,50704.3568013316
2013-12-04,7.992999999999999,405395.47826086957,0.04838709677419355,164462.1739130435,207415.04347826086,140618.73913043478,18.29032258064516,50718.813744635256
2013-12-05,7.992999999999999,405511.0326086957,0.06451612903225806,164500.48913043478,207330.9347826087,140670.89130434784,18.387096774193548,50733.27068793891
2013-12-06,7.992999999999999,405626.5869565217,0.08064516129032258,164538.80434782608,207246.8260869565,140723.04347826086,18.483870967741936,50747.72763124256
2013-12-07,7.992999999999999,405742.14130434784,0.0967741935483871,164577.11956521738,207162.71739130435,140775.19565217392,18.580645161290324,50762.18457454621
2013-12-08,7.992999999999999,405857.6956521739,0.11290322580645161,164615.4347826087,207078.60869565216,140827.34782608695,18.677419354838708,50776.64151784986
2013-12-09,7.992999999999999,405973.25,0.12903225806451613,164653.75,206994.5,140879.5,18.774193548387096,50791.09846115351
2013-12-10,7.992999999999999,406088.8043478261,0.14516129032258063,164692.0652173913,206910.39130434784,140931.65217391305,18.870967741935484,50805.55540445717
